npc1 mil locals

11941.16 / 12455.74
7709.65 / 14801.00
1985.01 / 13777.90
3973.91 / 11013.30
330.51 / 9282.99
2222.68 / 4817.03

npc2 witch 

6567.44 / 14960.78
13080.45 / 8147.61
9456.50 / 8675.27
13399.29 / 12842.66
11759.38 / 6418.45
8498.26 / 13907.24

npc3 hunter

12261.95 / 8714.65
11816.73 / 8380.74
12771.32 / 7682.44
11338.46 / 9147.01
10673.55 / 10864.17
9230.97 / 8315.42
8474.44 / 13919.40

npc4 sniper

11847.84 / 10134.72
11299.58 / 9755.23
8538.84 / 7267.77
9184.31 / 13112.70
13088.22 / 5597.83
11836.17 / 3807.77
8480.27 / 13923.05

npc5 hitman 

12759.66 / 9535.61
12316.39 / 9446.11
12234.73 / 9732.13
12600.24 / 9837.13
12837.43 / 10210.71
8456.94 / 13921.83

npc 6 mummy

12018.20 / 9057.44
13033.79 / 10142.79
11517.33 / 10148.29
12338.26 / 9579.83
13064.89 / 7991.58
8458.16 / 13932.78

npc7 china girl doc police fire band 

12784.93 / 8390.01
12776.18 / 9734.80
12265.11 / 9459.32
8467.88 / 14004.84
5934.61 / 10236.55
8480.03 / 13904.08

npc8 doctor

12763.06 / 10065.53
11950.88 / 9069.80
11902.03 / 12553.03
11276.98 / 12134.35
9484.20 / 8839.86
8564.60 / 13956.07

npc9 police

8492.67 / 13902.42
12917.38 / 10180.43
12081.63 / 9063.45
13070.73 / 7180.91
11478.93 / 7562.37
9523.81 / 8810.00

npc10 fire fight

10448.03 / 8913.05
8473.23 / 13908.83
12815.07 / 9995.96
12864.64 / 9223.13
13098.92 / 10415.91
10281.31 / 2157.98

npc11 bandit 

8481.00 / 14004.36
11027.39 / 13330.97
12333.88 / 12278.69
12629.40 / 8292.66
11775.17 / 9095.82
11939.94 / 9201.86
12126.34 / 9075.08


